0,abstract,app_name,authors,conclusions,copyrights,doi,journal,keywords,methods,publication_date,pubmed_id,results,title,validation_level
Speedy English Grammar Practice: Fun ESL Exercises,,,,,,,,,,,,,,
Baby Panda’s Summer: Café,,,,,,,,,,,,,,
Airport Professions: Fascinating games,,,,,,,,,,,,,,
Superstar Hair Salon,,,,,,,,,,,,,,
PSC Challenger: Kerala PSC Exam App,,,,,,,,,,,,,,
Super Kids Games Collection,,,,,,,,,,,,,,
Math Games for kids of all ages,,,,,,,,,,,,,,
Simply Piano by JoyTunes,,,,,,,,,,,,,,
Learn English - Language & Grammar,,,,,,,,,,,,,,
Little Panda's Farm Story,,,,,,,,,,,,,,
Pinkfong Baby Shark,,,,,,,,,,,,,,
My Town: After School Neighborhood Street,,,,,,,,,,,,,,
Ice Queen's Beauty SPA Salon,,,,,,,,,,,,,,
ABCmouse.com,,,,,,,,,,,,,,
"Colors for Kids, Toddlers, Babies - Learning Game",,,,,,,,,,,,,,
Crayon Shinchan Operation Little Helper,,,,,,,,,,,,,,
Logic Puzzle & Memory Games for Brain Training,,,,,,,,,,,,,,
Cars,,,,,,,,,,,,,,
Kids Educational Game Free,,,,,,,,,,,,,,
Supermarket: Shopping Games for Kids,,,,,,,,,,,,,,
Learn Languages with Music,,,,,,,,,,,,,,
Bini Super ABC! Preschool Learning Games for Kids!,,,,,,,,,,,,,,
Baby Panda's Supermarket,,,,,,,,,,,,,,
Masha and the Bear. Games & Activities,,,,,,,,,,,,,,
My Town : Hotel Games for Kids,,,,,,,,,,,,,,
Kids Preschool Puzzles (Lite),,,,,,,,,,,,,,
Programming Hero: Coding Just Got Fun (beta),,,,,,,,,,,,,,
Yasa Pets Town,,,,,,,,,,,,,,
Airport Adventure 2,,,,,,,,,,,,,,
Like Nastya,,,,,,,,,,,,,,
"Learn Italian - 15,000 Words",,,,,,,,,,,,,,
My Town: Preschool Game - Learn & Fun at School,,,,,,,,,,,,,,
Little Panda Earthquake Safety,,,,,,,,,,,,,,
"Learn Spanish, Turkish, Polish, French & more free",,,,,,,,,,,,,,
Candylocks Hair Salon - Style Cotton Candy Hair,,,,,,,,,,,,,,
My Town: Fun Amusement Park Game for Kids - Free,,,,,,,,,,,,,,
Baby Panda Care 2,,,,,,,,,,,,,,
Halloween Makeup Me,,,,,,,,,,,,,,
My Town : Dance School. Girls Pretend Dress Up Fun,,,,,,,,,,,,,,
Animal Sounds,,,,,,,,,,,,,,
Preschool and Kindergarten Learning Games,,,,,,,,,,,,,,
My Town : School - Learning Games for Kids,,,,,,,,,,,,,,
Baby Panda’s Summer: Vacation,,,,,,,,,,,,,,
ABC Kids - Tracing & Phonics,,,,,,,,,,,,,,
Trip to the zoo for kids,,,,,,,,,,,,,,
"Cuemath: Math Games, Online Classes & Learning App",,,,,,,,,,,,,,
"Firefighter, Fire Station & Fire Truck - Kids Game",,,,,,,,,,,,,,
"Animals for Kids, Planet Earth Animal Sounds",,,,,,,,,,,,,,
"Fairy Tales ~ Children’s Books, Stories and Games",,,,,,,,,,,,,,
"Learn Korean - 15,000 Words",,,,,,,,,,,,,,
Little Panda's Candy Shop,,,,,,,,,,,,,,
Preschooler World,,,,,,,,,,,,,,
English for Kids,,,,,,,,,,,,,,
Kids School - Games for Kids,,,,,,,,,,,,,,
General Knowledge Quiz : World GK Quiz App,,,,,,,,,,,,,,
Educational games for kids,,,,,,,,,,,,,,
Countries of the World - Quiz Game and Learning,,,,,,,,,,,,,,
"Superbook Kids Bible, Videos & Games (Free App)",,,,,,,,,,,,,,
My Town: Hair Salon & Beauty Spa Game for Girls ❤️,,,,,,,,,,,,,,
My Town: Play & Discover - City Builder Game,,,,,,,,,,,,,,
My Town: Home Doll house - Family Playhouse,,,,,,,,,,,,,,
Coloring & Learn,,,,,,,,,,,,,,
Baby Panda's Town: My Dream,,,,,,,,,,,,,,
My Town: Farm Life - Animals & Farming Doll House,,,,,,,,,,,,,,
Make-Up Me: Superstar,,,,,,,,,,,,,,
Kiki & Fifi Pet Friends - Virtual Cat & Dog Care,,,,,,,,,,,,,,
Farm Friends,,,,,,,,,,,,,,
Duolingo: Learn Languages Free,,,,,,,,,,,,,,
"Babyphone & tablet - baby learning games, drawing",,,,,,,,,,,,,,
Toca Life World: Build stories & create your world,,,,,,,,,,,,,,
Lingokids - A fun learning adventure,,,,,,,,,,,,,,
Sweet Baby Girl Cleanup 5 - Messy House Makeover,,,,,,,,,,,,,,
My Little Princess Castle - Playhouse & Girls Game,,,,,,,,,,,,,,
Kid-E-Cats. Educational Games,,,,,,,,,,,,,,
Learn to Read with Tommy Turtle,,,,,,,,,,,,,,
Baby Panda's Fire Safety,,,,,,,,,,,,,,
Baby Panda’s Color Mixing Studio,,,,,,,,,,,,,,
"Babyphone - baby music games with Animals, Numbers",,,,,,,,,,,,,,
Multiplication table. Learn and Play!,,,,,,,,,,,,,,
My Town : Best Friends' House games for kids,,,,,,,,,,,,,,
Educational Games for Kids,,,,,,,,,,,,,,
My Town : Grandparents Play home Fun Life Game,,,,,,,,,,,,,,
Power Girls Super City - Superhero Salon & Pets,,,,,,,,,,,,,,
Baby Panda’s Summer: Juice Shop,,,,,,,,,,,,,,
"Math Kids - Add, Subtract, Count, and Learn",,,,,,,,,,,,,,
Baby Panda’s Ice Cream Shop,,,,,,,,,,,,,,
Tailor Kids,,,,,,,,,,,,,,
Preschool learning games for kids: shapes & colors,,,,,,,,,,,,,,
Little Panda's Restaurant,,,,,,,,,,,,,,
Little Panda's Shopping Mall,,,,,,,,,,,,,,
Little Panda's Chinese Recipes,,,,,,,,,,,,,,
"BYJU'S KG, Std.1-3 | Disney • BYJU'S Early Learn",,,,,,,,,,,,,,
My Town : Museum - History & Science for Kids NEW,,,,,,,,,,,,,,
"Tizi World: My Play Town, Dollhouse Games for Kids",,,,,,,,,,,,,,
Girls games: Painting and coloring,,,,,,,,,,,,,,
Kpopsies - Hatch Your Unicorn Idol,,,,,,,,,,,,,,
My Town : Haunted House - Scary Game for Kids 👻,,,,,,,,,,,,,,
"Math Games, Learn Add, Subtract, Multiply & Divide",,,,,,,,,,,,,,
Learn Spanish with SpeakTribe,,,,,,,,,,,,,,
Moonzy. Kids Mini-Games,,,,,,,,,,,,,,
Unicorn Chef Carnival Fair Food Games for Girls,,,,,,,,,,,,,,
Pepi House: Happy Family,,,,,,,,,,,,,,
"Sweet Baby Girl Cleanup 4 - House, Pool & Stable",,,,,,,,,,,,,,
Sweet Baby Girl Summer Fun 2 - Sunny Makeover Game,,,,,,,,,,,,,,
Funny Food 123! Kids Number Games for Toddlers,,,,,,,,,,,,,,
Little Panda's Hero Battle Game,,,,,,,,,,,,,,
Little Panda: Princess Makeup,,,,,,,,,,,,,,
English Quiz [Eigomonogatari],,,,,,,,,,,,,,
Rainbow Ice Cream - Unicorn Party Food Maker,,,,,,,,,,,,,,
Do Not Disturb! Get Prankster in a Hilarious Game,,,,,,,,,,,,,,
"Baby Phone - Games for Family, Parents and Babies",,,,,,,,,,,,,,
Little Panda’s Dream Town,,,,,,,,,,,,,,
Little Panda Travel Safety,,,,,,,,,,,,,,
Learn to Read! ABC Letters and Phonics for Kids!,,,,,,,,,,,,,,
EF Hello: Free English Language Learning App,,,,,,,,,,,,,,
Quizlet: Learn Languages & Vocab with Flashcards,,,,,,,,,,,,,,
"Toddler Games for 2, 3 year old kids - Ads Free",,,,,,,,,,,,,,
Princess Salon: Cinderella,,,,,,,,,,,,,,
"Learn French - 15,000 Words",,,,,,,,,,,,,,
Little Panda‘s Fashion Flower DIY,,,,,,,,,,,,,,
Learn Korean - Language & Grammar Learning,,,,,,,,,,,,,,
My Town: Shopping Mall -  Fun Shop Game for Girls,,,,,,,,,,,,,,
My Town : Bakery - Cooking & Baking Game for Kids,,,,,,,,,,,,,,
Learn Japanese - Language & Grammar Learning,,,,,,,,,,,,,,
Little Panda's Pet Salon,,,,,,,,,,,,,,
My Town : Hospital and Doctor Games for Kids,,,,,,,,,,,,,,
Little Panda’s Summer: Ice Cream Bars,,,,,,,,,,,,,,
Little Panda's Bake Shop : Bakery Story,,,,,,,,,,,,,,
Dog & Puppy Training App with Clicker by Dogo,,,,,,,,,,,,,,
Educational Games 4 Kids,,,,,,,,,,,,,,
MySchool - Be the Teacher! Learning Games for Kids,,,,,,,,,,,,,,
"Homework Help App | Scan Question, Get Answer",,,,,,,,,,,,,,
Yasa Pets Hospital,,,,,,,,,,,,,,
Little Panda Captain,,,,,,,,,,,,,,
Pepi Wonder World: Islands of Magic Life!,,,,,,,,,,,,,,
My Baby Panda Chef,,,,,,,,,,,,,,
Princess Home Girls Cleaning – Home Clean up Games,,,,,,,,,,,,,,
Baby Panda: Fishing,,,,,,,,,,,,,,
Little Panda: Princess Dress Up,,,,,,,,,,,,,,
Baby Panda: Care for animals,,,,,,,,,,,,,,
My Town: Movie Star & Cinema - Movie Game for Kids,,,,,,,,,,,,,,
LEGO® DUPLO® Train,,,,,,,,,,,,,,
Buddy.ai: English for kids,,,,,,,,,,,,,,
English for Kids - Kids Games,,,,,,,,,,,,,,
Math Scanner By Photo - Solve My Math Problem,,,,,,,,,,,,,,
Jungle Animal Hair Salon 2 - Tropical Beauty Salon,,,,,,,,,,,,,,
Baby Panda Home Safety,,,,,,,,,,,,,,
Princess Coloring Book Glitter & Girls Dress Up,,,,,,,,,,,,,,
Doctor Kids 2,,,,,,,,,,,,,,
Cooking School: Games for Girls,,,,,,,,,,,,,,
Pepi Super Stores: Fun & Games,,,,,,,,,,,,,,
Think and Learn | Std. 4 & 5,,,,,,,,,,,,,,
Baby Panda's Town: Life,,,,,,,,,,,,,,
Masha and the Bear: Good Night!,,,,,,,,,,,,,,
Animal Jam,,,,,,,,,,,,,,
"Rosetta Stone: Learn, Practice & Speak Languages",,,,,,,,,,,,,,
Learn Hebrew. Speak Hebrew,,,,,,,,,,,,,,
Monster Trucks Game for Kids 2,,,,,,,,,,,,,,
Party Popteenies Surprise - Rainbow Pop Fiesta,,,,,,,,,,,,,,
Pepi Hospital: Learn & Care,,,,,,,,,,,,,,
Learn English Conversation,,,,,,,,,,,,,,
Smolsies - My Cute Pet House,,,,,,,,,,,,,,
Yasa Pets Tower,,,,,,,,,,,,,,
Baby Panda Care,,,,,,,,,,,,,,
Dr. Panda Town,,,,,,,,,,,,,,
Kahoot! Play & Create Quizzes,,,,,,,,,,,,,,
Do Not Disturb! 2 - Challenge Your Prank Skills!,,,,,,,,,,,,,,
Kids Educational Game 5,,,,,,,,,,,,,,
Mandala Coloring Pages,,,,,,,,,,,,,,
Magic Wizard World - A Magic Game for Girls & Boys,,,,,,,,,,,,,,
Toddler games for 2-5 year olds,,,,,,,,,,,,,,
Baby puzzles,,,,,,,,,,,,,,
Masha and the Bear. Educational Games,,,,,,,,,,,,,,
Bubbu School - My Cute Pets | Animal School Game,,,,,,,,,,,,,,
Learn Dutch. Speak Dutch,,,,,,,,,,,,,,
Funny Food! Educational games for kids 3 years old,,,,,,,,,,,,,,
Pinkfong ABC Phonics,,,,,,,,,,,,,,
Animals Farm For Kids,,,,,,,,,,,,,,
PBS KIDS Games,,,,,,,,,,,,,,
Alphabet ABC! Learning letters! ABCD games!,,,,,,,,,,,,,,
NeuroNation - Brain Training & Brain Games,,,,,,,,,,,,,,
Baby Panda Kindergarten,,,,,,,,,,,,,,
Miga Town: My World,,,,,,,,,,,,,,
Baby Hazel Fancy Dress,,,,,,,,,,,,,,
Lumosity: Brain Training,,,,,,,,,,,,,,
"Learn English - 15,000 Words",,,,,,,,,,,,,,
Free games: Masha and the Bear,,,,,,,,,,,,,,
"#1 Vocab App: Hindu Editorial, Grammar, Dictionary",,,,,,,,,,,,,,
Piano Academy - Learn Piano,,,,,,,,,,,,,,
Toontastic 3D,,,,,,,,,,,,,,
"Learn Spanish - 15,000 Words",,,,,,,,,,,,,,
,,,,,,,,,,,,,,0
,"Cockpit Voice Recorder (CVR) transcripts capture audio data within cockpit environments. This aids the investigation of causal factors contributing to aviation accidents by revealing communication and other sounds prior to aviation accidents. This dataset contains 172 unique CVR transcripts (with 21,626 lines of transcript: averaging: 106.001 conversational turns; SD = 51.727, range: 1-641), and capturing approximately 15% of historic aviation fatalities in commercial and corporate aviation between 1962 and 2018. CVR transcripts involved airlines registered across 42 countries, with accidents occurring across 50 countries. The dataset was compiled by extracting CVR transcripts from three primary data sources and excluding duplicate and non-English entries. The data contains variables describing the (i) raw data, (ii) content and characteristics of the CVR transcripts, and (iii) behaviours coded by research assistants in support of the associated research article. The data existed of conversational turns amongst flight crew (total = 19,393; within transcripts: ",['English Listening and Speaking'],"[{'lastname': 'Noort', 'firstname': 'Mark C', 'initials': 'MC', 'affiliation': 'Leiden University, Law School, the Netherland.\nLondon School of Economics and Political Science, United Kingdom.'}, {'lastname': 'Reader', 'firstname': 'Tom W', 'initials': 'TW', 'affiliation': 'London School of Economics and Political Science, United Kingdom.'}, {'lastname': 'Gillespie', 'firstname': 'Alex', 'initials': 'A', 'affiliation': 'London School of Economics and Political Science, United Kingdom.\nBjørknes University College, Norway.'}]",,© 2021 The Author(s). Published by Elsevier Inc.,10.1016/j.dib.2021.107602,Data in brief,"['Aviation accidents', 'CRM', 'CRM, Crew Resource Management', 'Cockpit voice recorders', 'Safety listening', 'Safety voice']",,2021-12-09,34877377,,Cockpit voice recorder transcript data: Capturing safety voice and safety listening during historic aviation accidents.,7
,"The study examined EFL instructors' perceptions of English textbooks. It also investigated whether the instructors' gender and the type of textbooks they used had a significant impact on their responses. A survey questionnaire with 30 closed-ended items was utilized to collect the data from 60 randomly selected EFL instructors who were teaching English in higher education institutions and English language centers. SPSS version 26.0 was used to analyze the data. The findings showed that the instructors had positive perceptions about English textbooks. They also believed that four skills of English were equally represented in the textbooks, and they contained adequate listening, speaking, reading and writing activities. In addition, the textbooks were enriched with the cultural issues of the target language and that they were appropriate for the Afghan context. The results also showed that textbooks served various roles in EFL classrooms, for instance, as a source of assessment and assignment. There were not statistically significant differences between female and male instructors' responses. However, the type of textbooks they used significantly impacted their perceptions of English textbooks. EFL Programs are recommended to encourage and support their instructors to use other English learning resources to optimize their students' learning.",['English Listening and Speaking'],"[{'lastname': 'Orfan', 'firstname': 'Sayeed Naqibullah', 'initials': 'SN', 'affiliation': 'English Department, Takhar University, Afghanistan.'}, {'lastname': 'Noori', 'firstname': 'Abdul Qawi', 'initials': 'AQ', 'affiliation': 'English Department, Takhar University, Afghanistan.'}, {'lastname': 'Akramy', 'firstname': 'Sayeed Asif', 'initials': 'SA', 'affiliation': 'English Department, Takhar University, Afghanistan.'}]",,© 2021 The Author(s).,10.1016/j.heliyon.2021.e08340,Heliyon,"['EFL', 'Instructional materials', 'Internationally-published', 'Locally-published', 'Textbook']",,2021-11-26,34820543,,Afghan EFL instructors' perceptions of English textbooks.,7
,,['English Listening and Speaking'],"[{'lastname': 'Caldeira', 'firstname': 'Juliana Maria Araujo', 'initials': 'JMA', 'affiliation': None}, {'lastname': 'Valéria', 'firstname': 'Maria', 'initials': 'M', 'affiliation': None}, {'lastname': 'Goffi-Gomez', 'firstname': 'Schmidt', 'initials': 'S', 'affiliation': None}, {'lastname': 'Imamura', 'firstname': 'Rui', 'initials': 'R', 'affiliation': None}, {'lastname': 'Bento', 'firstname': 'Ricardo Ferreira', 'initials': 'RF', 'affiliation': None}]",,,10.3357/AMHP.5884.2021,Aerospace medicine and human performance,[],,2021-11-26,34819214,,Noise Attenuation Effects on Speech Recognition of Cochlear Implant Users Inside Helicopters.,7
,"The purpose of this study was to (1) develop a Language-independent Test of Auditory Discrimination (LIT-AD) between speech sounds so that people with hearing loss who derive limited speech perception benefits from hearing aids (HAs) may be identified for consideration of cochlear implantation and (2) examine the relationship between the scores for the new discrimination test and those of a standard sentence test for adults wearing either HAs or cochlear implants (CIs).
The test measures the ability of the listener to correctly discriminate pairs of nonsense syllables, presented as sequential triplets in an odd-one-out format, implemented as a game-based software tool for self-administration using a tablet computer. Stage 1 included first a review of phonemic inventories in the 40 most common languages in the world to select the consonants and vowels. Second, discrimination testing of 50 users of CIs at several signal to noise ratios (SNRs) was carried out to generate psychometric functions. These were used to calculate the corrections in SNR for each consonant-pair and vowel combination required to equalize difficulty across items. Third, all items were individually equalized in difficulty and the overall difficulty set. Stage 2 involved the validation of the LIT-AD in English-speaking listeners by comparing discrimination scores with performance in a standard sentence test. Forty-one users of HAs and 40 users of CIs were assessed. Correlation analyses were conducted to examine test-retest reliability and the relationship between performance in the two tests. Multiple regression analyses were used to examine the relationship between demographic characteristics and performance in the LIT-AD. The scores of the CI users were used to estimate the probability of superior performance with CIs for a non-CI user having a given LIT-AD score and duration of hearing loss.
The LIT-AD comprises 81 pairs of vowel-consonant-vowel syllables that were equalized in difficulty to discriminate. The test can be self-administered on a tablet computer, and it takes about 10 min to complete. The software automatically scores the responses and gives an overall score and a list of confusable items as output. There was good test-retest reliability. On average, higher LIT-AD discrimination scores were associated with better sentence perception for users of HAs (r = -0.54, p <0.001) and users of CIs (r = -0.73, p <0.001). The probability of superior performance with CIs for a certain LIT-AD score was estimated, after allowing for the effect of duration of hearing loss.
The LIT-AD could increase access to CIs by screening for those who obtain limited benefits from HAs to facilitate timely referrals for CI candidacy evaluation. The test results can be used to provide patients and professionals with practical information about the probability of potential benefits for speech perception from cochlear implantation. The test will need to be evaluated for speakers of languages other than English to facilitate adoption in different countries.",['English Listening and Speaking'],"[{'lastname': 'Ching', 'firstname': 'Teresa Y C', 'initials': 'TYC', 'affiliation': ""National Acoustic Laboratories, Hearing Australia, Sydney, Australia Department of Linguistics, Macquarie University, Sydney, Australia Manchester Centre for Audiology and Deafness, School of Health Sciences, University of Manchester, Manchester, United Kingdom Faculté de Pharmacie, Université de Montpellier, Montpellier, France Laboratoire de Mécanique et d'Acoustique, Centre National de la Recherche Scientifique, Aix-Marseille University, Centrale Marseille, France.""}, {'lastname': 'Dillon', 'firstname': 'Harvey', 'initials': 'H', 'affiliation': None}, {'lastname': 'Hou', 'firstname': 'Sanna', 'initials': 'S', 'affiliation': None}, {'lastname': 'Seeto', 'firstname': 'Mark', 'initials': 'M', 'affiliation': None}, {'lastname': 'Sodan', 'firstname': 'Ana', 'initials': 'A', 'affiliation': None}, {'lastname': 'Chong-White', 'firstname': 'Nicky', 'initials': 'N', 'affiliation': None}]",,"Copyright © 2021 Wolters Kluwer Health, Inc. All rights reserved.",10.1097/AUD.0000000000001166,Ear and hearing,[],,2021-11-24,34812793,"The LIT-AD comprises 81 pairs of vowel-consonant-vowel syllables that were equalized in difficulty to discriminate. The test can be self-administered on a tablet computer, and it takes about 10 min to complete. The software automatically scores the responses and gives an overall score and a list of confusable items as output. There was good test-retest reliability. On average, higher LIT-AD discrimination scores were associated with better sentence perception for users of HAs (r = -0.54, p <0.001) and users of CIs (r = -0.73, p <0.001). The probability of superior performance with CIs for a certain LIT-AD score was estimated, after allowing for the effect of duration of hearing loss.",Development and Evaluation of a Language-Independent Test of Auditory Discrimination for Referrals for Cochlear Implant Candidacy Assessment.,7
,,,,,,,,,,,,,,0
,"The aim of this study was to describe a new type of medical device that allows for internet-enabled patient self-screening, without the aid of an ophthalmic professional, through biomicroscopy self-imaging and self-measurement of the best-corrected visual acuity (BCVA).
In this prospective nonrandomized comparative study, 56 patients were instructed to screen their own eyes using a custom-built e-Device containing miniaturized slitlamp optics and a visual acuity Snellen chart virtually projected at 20 ft. BCVA measurements were recorded, and biomicroscopic videos were scored for image quality of the anterior segment status on a scale from 1 to 5 (1 = poor and 5 = excellent) by a blinded observer.
After a short instruction, all patients were able to self-image their eyes and perform a self-BCVA measurement using the e-Device. Patient self-image quality with the e-Device scored on average 3.3 (±0.8) for videos (n = 76) and 3.6 (±0.6) for photographs (n = 49). Self-BCVA measurement was within 1 Snellen line from routine BCVA levels in 66 of 72 eyes (92%). When compared with conventional biomicroscopy, patient self-biomicroscopy allowed for recognition of the relevant pathology (or absence thereof) in 26 of 35 eyes (74%); 9 cases showed insufficient image quality attributed to device operating error (n = 6) and mild corneal edema and/or scarring (n = 3). Patient satisfaction with the device was 4.4 (±0.9).
An e-Device for combined BCVA self-measurement and biomicroscopy self-imaging may have potential as an aid in remote ophthalmic examination in the absence of an ophthalmic professional and may be considered for patients who are unable to visit an ophthalmic clinic for routine follow-up.",['Star Chart'],"[{'lastname': 'van der Star', 'firstname': 'Lydia', 'initials': 'L', 'affiliation': 'Netherlands Institute for Innovative Ocular Surgery, Rotterdam, the Netherlands; Melles Cornea Clinic Rotterdam, the Netherlands; Center for Memory and Recording Research, University of California of San Diego, San Diego, CA; and NIIOS-USA, San Diego, CA.'}, {'lastname': 'Mulders-Al-Saady', 'firstname': 'Rana', 'initials': 'R', 'affiliation': None}, {'lastname': 'Phan', 'firstname': 'Alex', 'initials': 'A', 'affiliation': None}, {'lastname': 'Truong', 'firstname': 'Buu', 'initials': 'B', 'affiliation': None}, {'lastname': 'Suen', 'firstname': 'Benjamin', 'initials': 'B', 'affiliation': None}, {'lastname': 'Krijgsman', 'firstname': 'Marina', 'initials': 'M', 'affiliation': None}, {'lastname': 'Persoons', 'firstname': 'Robin', 'initials': 'R', 'affiliation': None}, {'lastname': 'Bourgonje', 'firstname': 'Vincent J A', 'initials': 'VJA', 'affiliation': None}, {'lastname': 'van Dijk', 'firstname': 'Korine', 'initials': 'K', 'affiliation': None}, {'lastname': 'Talke', 'firstname': 'Frank E', 'initials': 'FE', 'affiliation': None}, {'lastname': 'Melles', 'firstname': 'Gerrit R J', 'initials': 'GRJ', 'affiliation': None}]",,"Copyright © 2021 Wolters Kluwer Health, Inc. All rights reserved.",10.1097/ICO.0000000000002945,Cornea,[],,2021-11-29,34839329,"After a short instruction, all patients were able to self-image their eyes and perform a self-BCVA measurement using the e-Device. Patient self-image quality with the e-Device scored on average 3.3 (±0.8) for videos (n = 76) and 3.6 (±0.6) for photographs (n = 49). Self-BCVA measurement was within 1 Snellen line from routine BCVA levels in 66 of 72 eyes (92%). When compared with conventional biomicroscopy, patient self-biomicroscopy allowed for recognition of the relevant pathology (or absence thereof) in 26 of 35 eyes (74%); 9 cases showed insufficient image quality attributed to device operating error (n = 6) and mild corneal edema and/or scarring (n = 3). Patient satisfaction with the device was 4.4 (±0.9).",First Clinical Experience With Ophthalmic e-Device for Unaided Patient Self-Examination During COVID-19 Lockdown.,13
