App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
U-Dictionary: Oxford Dictionary Free Now Translate,com.youdao.hindict,Education,4.5,901835.0,"100,000,000+",100000000.0,125828709,True,0.0,USD,21M,5.0 and up,Talent Education Inc,http://www.u-dictionary.com/home/,udictionary01@gmail.com,"Mar 20, 2016","May 31, 2021",Everyone 10+,http://shared.youdao.com/dict/market/youdaoInfos/index.html,True,True,False,2021-06-15 23:18:59
"Coloring Games: Coloring Book, Painting, Glow Draw",com.rvappstudios.kids.coloring.book.color.painting,Educational,4.2,30808.0,"10,000,000+",10000000.0,35547233,True,0.0,USD,37M,4.1 and up,RV AppStudios,http://www.rvappstudios.com,app_support@rvappstudios.com,"Nov 6, 2019","May 31, 2021",Everyone,http://www.rvappstudios.com/privacy_policy_ABC.php,False,False,False,2021-06-15 23:21:10
"Baby Games for 2,3,4 year old kids",com.happytools.learning.kids.games,Educational,4.6,148680.0,"10,000,000+",10000000.0,13676475,True,0.0,USD,57M,4.4 and up,Bebi Family: preschool learning games for kids,http://bebi.family/,info@bebi.family,"Jul 17, 2019","May 19, 2021",Everyone,http://bebi.family/privacy-policy/,False,True,False,2021-06-15 23:29:33
Kids Educational Game 3 Free,com.pescapps.gamekidsfree3,Educational,4.3,32773.0,"10,000,000+",10000000.0,11800890,True,0.0,USD,27M,4.4 and up,pescAPPs,http://www.pescapps.com/,support@pescapps.com,"Jun 30, 2015","Mar 02, 2020",Everyone,http://pescapps.com/privacy,True,False,False,2021-06-15 23:32:26
Peak – Brain Games & Training,com.brainbow.peak.app,Education,4.3,486052.0,"10,000,000+",10000000.0,25840732,True,0.0,USD,324M,7.0 and up,PopReach Incorporated,http://www.peak.net,support@popreach.com,"Feb 3, 2015","Feb 19, 2021",Everyone,http://www.peak.net/privacy-policy,True,True,True,2021-06-15 23:42:05
Baby Panda World,com.sinyee.babybus.world,Educational,4.4,239016.0,"50,000,000+",50000000.0,70957986,True,0.0,USD,79M,4.4 and up,BabyBus,http://www.babybus.com,sinyeeandroid@gmail.com,"Nov 10, 2019","Apr 07, 2021",Everyone,http://en.babybus.com/index/privacyPolicy.shtml,True,True,False,2021-06-15 23:47:28
Reaction training,com.nixgames.reaction,Educational,4.7,93252.0,"1,000,000+",1000000.0,2590877,True,0.0,USD,6.2M,5.0 and up,nixGames,http://nixgames.studio/,nixgames44@gmail.com,"Nov 15, 2018","Jun 03, 2021",Everyone,https://nixgames44.blogspot.com/2018/11/reaction-training.html,True,True,False,2021-06-16 00:01:27
Belajar Mengaji - Learns Quran with Marbel,com.educastudio.marbelmengaji,Education,4.5,34570.0,"1,000,000+",1000000.0,3597297,True,0.0,USD,37M,4.2 and up,Educa Studio,http://www.educastudio.com,support@educastudio.com,"Oct 31, 2012","May 06, 2020",Everyone,http://www.educastudio.com/privacypolicies.html,True,True,False,2021-06-16 00:07:03
My Town : Beach Picnic Games for Kids,mytown.beach.free,Educational,4.3,20127.0,"1,000,000+",1000000.0,3415193,True,0.0,USD,50M,4.4 and up,My Town Games Ltd,https://my-town.com,info@my-town.com,"Apr 1, 2021","Jun 03, 2021",Everyone,https://my-town.com/privacy-policy/,True,True,False,2021-06-16 00:13:31
ANTON - All-in-one Homeschool - Montessori,com.solocode.anton,Education,4.7,104730.0,"1,000,000+",1000000.0,4004412,True,0.0,USD,Varies with device,Varies with device,ANTON - Learning - School,https://anton.app,support@anton.app,"Jan 30, 2018","Apr 06, 2021",Everyone,https://anton.app/datenschutz,False,True,False,2021-06-16 00:16:25
French Learning App - Busuu Language Learning,com.busuu.android.fr,Education,4.3,20691.0,"1,000,000+",1000000.0,1864291,True,0.0,USD,37M,5.0 and up,Busuu,http://www.busuu.com,team@busuu.com,"Jul 29, 2011","Jun 15, 2021",Everyone,http://www.busuu.com/privacy,False,True,False,2021-06-16 00:29:20
Vocabulary Builder - Test Prep,com.magoosh.gre.quiz.vocabulary,Education,4.7,88569.0,"5,000,000+",5000000.0,8330959,True,0.0,USD,23M,4.1 and up,Magoosh,https://gre.magoosh.com/,help@magoosh.com,"Jun 16, 2014","Jan 08, 2020",Everyone,http://gre.magoosh.com/privacy,False,False,False,2021-06-16 00:37:06
Toca Life: City,com.tocaboca.tocacity,Education,4.4,32385.0,"500,000+",500000.0,567811,False,3.99,USD,46M,4.4 and up,Toca Boca,http://tocaboca.com,support@tocaboca.com,"Sep 9, 2015","Oct 06, 2020",Everyone,http://tocaboca.com/privacy,True,False,False,2021-06-16 00:47:24
Animal Hair Salon Australia - Dress Up & Styling,com.tutotoons.app.animalhairsalonaustralia.free,Educational,4.1,35506.0,"10,000,000+",10000000.0,21215533,True,0.0,USD,83M,4.4 and up,TutoTOONS,http://www.tutotoons.com,support@tutotoons.com,"Jan 2, 2018","Apr 09, 2021",Everyone,https://tutotoons.com/privacy_policy/,True,True,False,2021-06-16 00:51:58
Forest Folks - Cute Pet Home Design Game,br.com.tapps.forestfolks.homedesign,Educational,4.1,30405.0,"1,000,000+",1000000.0,2079990,True,0.0,USD,34M,4.1 and up,Tapps Games,http://tappsgames.com,user.support+forestfolks@tappsgames.com,"Nov 3, 2015","May 22, 2018",Everyone,http://legal.tapps.com.br/index.html?app=Forest-Folks-Home-Designer,True,True,False,2021-06-16 01:14:18
Squla,nl.squla.unitab,Educational,4.2,29160.0,"1,000,000+",1000000.0,1670176,True,0.0,USD,Varies with device,6.0 and up,Squla,http://www.squla.com,info@squla.com,"Aug 19, 2015","Jun 02, 2021",Everyone,https://www.squla.nl/privacy,False,True,False,2021-06-16 01:16:37
Meow Meow Star Acres,jp.colopl.nyankous,Educational,4.5,135497.0,"1,000,000+",1000000.0,3569036,True,0.0,USD,37M,4.0 and up,"COLOPL, Inc.",http://colopl.co.jp/en/,meowmeow@p.cs.colopl.jp,"Mar 27, 2014","Sep 07, 2015",Everyone,http://colopl.co.jp/app/privacypolicy/hoshinyan/en.html,False,True,False,2021-06-16 01:21:25
"MagTapp- Web Browser, Image Dictionary, PDF Reader",com.olm.magtapp,Education,4.3,64851.0,"1,000,000+",1000000.0,1998157,True,0.0,USD,133M,5.0 and up,"MagTapp - India me bana, India ke liye!",https://www.magtapp.com,hello@magtapp.com,"Nov 19, 2019","Jun 12, 2021",Everyone,https://www.magtapp.com/privacy-policy/,True,False,False,2021-06-16 01:28:50
Little Panda’s Jewel Adventure,com.sinyee.babybus.adventure,Educational,4.2,29134.0,"10,000,000+",10000000.0,19975914,True,0.0,USD,126M,4.2 and up,BabyBus,http://www.babybus.com,ser@babybus.com,"Jun 6, 2018","May 10, 2021",Everyone,http://en.babybus.com/index/privacyPolicy.shtml,True,True,False,2021-06-16 01:38:39
Baby Panda's Fashion Dress Up Game,com.sinyee.babybus.tailor,Educational,4.3,154711.0,"50,000,000+",50000000.0,76954454,True,0.0,USD,76M,4.2 and up,BabyBus,http://www.babybus.com,ser@babybus.com,"Oct 3, 2018","Mar 11, 2021",Everyone,http://en.babybus.com/index/privacyPolicy.shtml,True,True,False,2021-06-16 01:41:59
Prodigy Math Game,com.prodigygame.prodigy,Educational,4.2,46588.0,"1,000,000+",1000000.0,4733613,True,0.0,USD,29M,5.0 and up,SMARTeacher Inc.,https://www.prodigygame.com,support@prodigygame.com,"Jun 8, 2018","Dec 08, 2020",Everyone,https://www.prodigygame.com/Privacy-Policy/,False,False,False,2021-06-16 01:42:14
Learn US English free for beginners,com.gonliapps.learnamericanenglish.forkidsandbeginners,Educational,4.5,43595.0,"1,000,000+",1000000.0,3577171,True,0.0,USD,9.7M,4.1 and up,gonliapps,http://www.gonliapps.com,gonliapps@gmail.com,"Apr 11, 2017","Mar 31, 2021",Everyone,http://www.gonliapps.com/privacy/index.html,True,True,False,2021-06-16 01:44:52
Toca Hair Salon 4,com.tocaboca.tocahairsalon4,Education,4.2,91938.0,"10,000,000+",10000000.0,21064862,True,0.0,USD,35M,5.0 and up,Toca Boca,http://tocaboca.com/app/toca-hair-salon-4/,hs4support@tocaboca.com,"Mar 11, 2020","Feb 15, 2021",Everyone,https://tocaboca.com/privacy/,True,True,False,2021-06-16 01:52:07
شعلة - درّب عقلك يومياً,com.sho3lah.android,Education,4.5,172953.0,"1,000,000+",1000000.0,4544413,True,0.0,USD,57M,4.2 and up,Sho3lah,http://www.sho3lah.com,info@sho3lah.com,"May 10, 2017","Jan 04, 2021",Everyone,http://sho3lah.com/privacy,True,True,True,2021-06-16 01:57:53
Writing the alphabet,com.aprenderJugando.alfabeto,Educational,4.0,20907.0,"10,000,000+",10000000.0,12442769,True,0.0,USD,65M,2.3 and up,aprender jugando,http://www.aprenderjugando.cl,llefferh@gmail.com,"May 22, 2015","May 25, 2017",Everyone,https://aprenderjugando.cl/politicas.html,True,False,False,2021-06-16 02:02:08
Cinderella - Story Games and Puzzles,com.hedgehogacademy.cinderellafree,Educational,4.2,62046.0,"1,000,000+",1000000.0,4795545,True,0.0,USD,56M,4.4 and up,LADistribution,http://ladistribution.com/,support@ladistribution.com,"Aug 8, 2014","Mar 22, 2021",Everyone,http://ladistribution.com/privacy-policy/,True,True,False,2021-06-16 02:02:47
Toca Kitchen 2,com.tocaboca.tocakitchen2,Educational,4.2,1550126.0,"100,000,000+",100000000.0,153769168,True,0.0,USD,30M,4.4 and up,Toca Boca,http://www.tocaboca.com,support@tocaboca.com,"May 25, 2015","Feb 15, 2021",Everyone,http://www.tocaboca.com/privacy,True,False,False,2021-06-16 02:05:10
Hello English: Learn English,com.CultureAlley.japanese.english,Education,4.5,899558.0,"10,000,000+",10000000.0,47368914,True,0.0,USD,Varies with device,Varies with device,Culture Alley,https://helloenglish.com,contact@culturealley.com,"Sep 2, 2014","May 24, 2021",Everyone,https://culturealley.com/Privacy.jsp,True,True,True,2021-06-16 02:06:33
Baby Games for 1+ Toddlers,com.educational.baby.games,Educational,4.7,23287.0,"1,000,000+",1000000.0,1518765,True,0.0,USD,64M,4.4 and up,Bebi Family: preschool learning games for kids,,info@bebi.family,"Aug 27, 2019","Apr 13, 2021",Everyone,https://sites.google.com/view/fpg-ent-privacy-policy,False,True,False,2021-06-16 02:08:18
Kid-E-Cats Playhouse,com.Metrafilms.KidECatsDollHouse,Educational,4.4,22914.0,"5,000,000+",5000000.0,7082782,True,0.0,USD,127M,6.0 and up,Hippo Kids Games,http://psvgamestudio.com,report.psv@gmail.com,"Jul 3, 2019","Jun 07, 2021",Everyone,https://policy.psvgamestudio.com/privacy_policy_hippo_kids_games.html,True,True,False,2021-06-16 02:14:31
Princess Computer,com.minibuu.princesscomputer,Educational,4.0,21450.0,"10,000,000+",10000000.0,27308506,True,0.0,USD,Varies with device,5.0 and up,Minibuu,http://minibuu.com/,info@minibuu.com,"Aug 8, 2018","May 11, 2021",Everyone,http://minibuu.com/privacy-policy,True,False,False,2021-06-16 02:20:17
Hindi English Translator - English Dictionary,com.hindi.english.translate.language.word.dictionary,Education,4.2,44998.0,"10,000,000+",10000000.0,22674157,True,0.0,USD,Varies with device,4.1 and up,Learn English In Hindi - Translator & Dictionary,https://funnyvideostatus.blogspot.com/,vipulpatel808@gmail.com,"Mar 3, 2018","Jun 03, 2021",Teen,https://funnyvideostatus.blogspot.com/2018/02/vipul-patel-privacy-policy-we-recognize.html,True,True,False,2021-06-16 02:24:03
Little Panda's Dream Castle,com.sinyee.babybus.designer,Educational,4.3,30306.0,"10,000,000+",10000000.0,15743077,True,0.0,USD,74M,4.2 and up,BabyBus,http://www.babybus.com,ser@babybus.com,"Aug 19, 2020","May 26, 2021",Everyone,http://en.babybus.com/index/privacyPolicy.shtml,True,True,False,2021-06-16 02:29:34
Painting and drawing game,com.coloring.toddlers,Educational,4.1,31041.0,"5,000,000+",5000000.0,9658021,True,0.0,USD,43M,4.4 and up,Coloring Games,https://www.2-monkeys.nl,info@2-monkeys.nl,"Jan 24, 2014","Mar 29, 2021",Everyone,https://www.2-monkeys.nl/policy/policy.html,True,True,False,2021-06-16 02:39:20
My Town: Stores - Doll house & Dress up Girls Game,mytown.stores.free,Educational,4.3,38413.0,"10,000,000+",10000000.0,10016884,True,0.0,USD,51M,4.4 and up,My Town Games Ltd,http://www.my-town.com,info@my-town.com,"Jun 4, 2020","May 28, 2021",Everyone,https://my-town.com/privacy-policy/,True,True,False,2021-06-16 02:46:51
Words Booster: Learn Languages,com.appsci.tenwords,Education,4.2,20045.0,"1,000,000+",1000000.0,1029604,True,0.0,USD,13M,6.0 and up,Boosters,https://boosters.company/,words@boosters.company,"Apr 2, 2019","May 27, 2021",Everyone,https://words.boosters.company/agreements/privacy-policy,True,True,False,2021-06-16 02:50:22
My Baby Unicorn 2 - New Virtual Pony Pet,com.tutotoons.app.mybabyunicorn2.free,Educational,4.1,28438.0,"10,000,000+",10000000.0,14771914,True,0.0,USD,102M,4.4 and up,TutoTOONS,https://tutotoons.com/,support@tutotoons.com,"Sep 24, 2019","Apr 09, 2021",Everyone,https://tutotoons.com/privacy_policy/,True,True,False,2021-06-16 02:52:15
"Truck games for kids - build a house, car wash",com.gokids.transportbuilding,Educational,4.1,150545.0,"100,000,000+",100000000.0,114808798,True,0.0,USD,103M,4.4 and up,GoKids!,http://gokidsmobile.com/,toplinesolutionsltd@gmail.com,"Oct 16, 2018","Jun 02, 2021",Everyone,http://gokidsmobile.com/privacy-policy/,True,True,False,2021-06-16 02:54:02
Sensory Baby Toddler Learning,com.SensoryPlayApps.SensoryFishFree,Educational,4.1,39417.0,"1,000,000+",1000000.0,2526253,True,0.0,USD,31M,4.4 and up,Xisle Games - MMO Fantasy RPG,http://sensoryplayapps.com,sensoryplayapps@gmail.com,"Mar 9, 2016","Dec 11, 2020",Everyone,http://sensoryplayapps.com/sensory-fish-privacy-policy.html,True,True,False,2021-06-16 03:08:24
"Learn German - 15,000 Words",com.funeasylearn.german,Education,4.6,63597.0,"1,000,000+",1000000.0,4475495,True,0.0,USD,104M,5.0 and up,FunEasyLearn,http://www.funeasylearn.com/,support@funeasylearn.com,"Jan 23, 2014","Jun 15, 2021",Everyone,https://www.funeasylearn.com/privacy,False,True,False,2021-06-16 03:10:59
My Town : Fashion Show,mytown.fashion,Educational,4.2,89153.0,"10,000,000+",10000000.0,16857404,True,0.0,USD,49M,4.4 and up,My Town Games Ltd,http://www.my-town.com,info@my-town.com,"May 3, 2016","May 28, 2021",Everyone,http://www.my-town.com/privacy-policy,True,True,False,2021-06-16 03:13:31
Kids Animals Jigsaw Puzzles ❤️🦄,se.appfamily.superpuzzlefree,Educational,4.4,68195.0,"10,000,000+",10000000.0,28965641,True,0.0,USD,18M,4.4 and up,App Family Kids - Games for boys and girls,http://www.appfamily.se,per.haglund@appfamily.se,"May 4, 2013","May 07, 2021",Everyone,http://www.appfamily.se/index.php?page=terms,True,True,False,2021-06-16 03:14:03
Little Panda: Princess Snow Ball,com.kid58.lianyong.princessIII,Educational,4.0,28797.0,"10,000,000+",10000000.0,26551913,True,0.0,USD,50M,4.2 and up,BabyBus,,ser@mamaragames.com,"Dec 24, 2019","Apr 13, 2021",Everyone,http://en.babybus.com/index/privacyPolicy.shtml,True,True,False,2021-06-16 03:19:38
Khan Academy Kids: Free educational games & books,org.khankids.android,Education,4.7,22856.0,"1,000,000+",1000000.0,3134695,True,0.0,USD,154M,5.0 and up,Khan Academy,http://khankids.org,khankids@khanacademy.org,"Jul 10, 2018","Feb 05, 2021",Everyone,https://www.khanacademy.org/kids/privacy-policy,False,False,False,2021-06-16 03:24:42
Cooking Mama: Let's cook!,jp.co.ofcr.cm00,Educational,4.4,761278.0,"50,000,000+",50000000.0,63660606,True,0.0,USD,71M,4.1 and up,Office Create Corp.,https://app-ofcr.com/OFFICE_CREATE/Website/APP_CookingMama/google_en/index.html,mama_info02@ofcr.co.jp,"May 14, 2015","May 27, 2021",Everyone,https://app-ofcr.com/OFFICE_CREATE/Website/APP_CookingMama/en/privacypolicy.html,True,True,False,2021-06-16 03:30:38
flowkey: Learn piano,com.flowkey.app,Education,4.2,20362.0,"1,000,000+",1000000.0,2028304,True,0.0,USD,Varies with device,7.0 and up,flowkey,http://www.flowkey.com,hello@flowkey.com,"Jan 26, 2016","May 23, 2021",Everyone,http://www.flowkey.com/en/privacy-policy,False,True,False,2021-06-16 03:34:06
Learn Alphabet for Kids with Marbel,com.educastudio.marbelhuruf,Education,4.4,29745.0,"1,000,000+",1000000.0,4140741,True,0.0,USD,Varies with device,4.1 and up,Educa Studio,https://www.educastudio.com,support@educastudio.com,"Oct 1, 2012","Sep 16, 2020",Everyone,https://www.educastudio.com/privacypolicies.html,True,True,False,2021-06-16 03:35:46
KidloLand Toddler Games & Kids Learning Games,com.internetdesignzone.nurseryrhymes,Educational,4.3,34922.0,"5,000,000+",5000000.0,5519616,True,0.0,USD,Varies with device,4.0 and up,IDZ Digital Private Limited,http://www.kidloland.com,support@kidloland.com,"Apr 19, 2013","May 07, 2021",Everyone,http://www.kidloland.com/privacypolicy.php,False,True,False,2021-06-16 03:53:38
Little Panda Policeman,com.sinyee.babybus.policemen,Educational,4.2,130019.0,"50,000,000+",50000000.0,64859926,True,0.0,USD,100M,4.2 and up,BabyBus,http://www.babybus.com,ser@babybus.com,"May 18, 2017","May 11, 2021",Everyone,http://en.babybus.com/index/privacyPolicy.shtml,True,True,False,2021-06-16 03:55:05
Baby Panda's Carnival,com.sinyee.babybus.amusement,Educational,4.3,81693.0,"10,000,000+",10000000.0,25362333,True,0.0,USD,79M,4.2 and up,BabyBus,http://www.babybus.com,ser@babybus.com,"Nov 30, 2016","Mar 08, 2021",Everyone,http://en.babybus.com/index/privacyPolicy.shtml,True,True,False,2021-06-16 04:06:59
